target_id,dataset,stem,status,lddt,n_matched_atoms,error
foldbench_rest__8fib_A,foldbench_rest,8fib_A,ok,0.8546009995259459,3256,
foldbench_rest__8gbe_A,foldbench_rest,8gbe_A,ok,0.7660823656703442,1658,
foldbench_rest__8gm7_A,foldbench_rest,8gm7_A,ok,0.8936081879523127,1288,
foldbench_rest__8gsy_A,foldbench_rest,8gsy_A,ok,0.7873714089314496,994,
foldbench_rest__8ini_A,foldbench_rest,8ini_A,ok,0.8458048804772613,768,
foldbench_rest__8iqc_A,foldbench_rest,8iqc_A,ok,0.8767660315322694,1715,
foldbench_rest__8ou1_A,foldbench_rest,8ou1_A,ok,0.8360155324746104,1074,
foldbench_rest__8ovq_A,foldbench_rest,8ovq_A,ok,0.6920773032704912,1493,
foldbench_rest__8ow8_A,foldbench_rest,8ow8_A,ok,0.8681397491007983,3218,
foldbench_rest__8p0e_A,foldbench_rest,8p0e_A,ok,0.8410603153147717,1341,
foldbench_rest__8q79_A,foldbench_rest,8q79_A,ok,0.8886025942167485,1706,
foldbench_rest__8qnf_A,foldbench_rest,8qnf_A,ok,0.8093288083119136,3463,
foldbench_rest__8sx0_A,foldbench_rest,8sx0_A,ok,0.8076368168093052,753,
foldbench_rest__8t5t_A,foldbench_rest,8t5t_A,ok,0.6988332026461396,1507,
foldbench_rest__8ux2_A,foldbench_rest,8ux2_A,ok,0.5657110530796967,1828,
foldbench_rest__8w7p_A,foldbench_rest,8w7p_A,ok,0.7991101989185971,2044,
foldbench_rest__8wc1_A,foldbench_rest,8wc1_A,ok,0.9069396657213192,1127,
foldbench_rest__8wqn_A,foldbench_rest,8wqn_A,ok,0.8739109358701909,1248,
foldbench_rest__8xif_A,foldbench_rest,8xif_A,ok,0.8939603615048902,1803,
foldbench_rest__9aue_A,foldbench_rest,9aue_A,ok,0.9056801558725535,3138,
foldbench_rest__9b8e_A,foldbench_rest,9b8e_A,ok,0.8390079492265891,1795,
foldbench_rest__9gso_A,foldbench_rest,9gso_A,ok,0.9121483773198387,1375,
foldbench_rest__9jq9_A,foldbench_rest,9jq9_A,ok,0.8946522098686024,1429,
