stem,pdb_id,chain,slice,L_resolved,best_train_identity,lddt_no_contacts,lddt_protenix_v2_ss,lddt_marinfold_topL,lddt_protenix_v2_msa,lddt_oracle
5sbj_A,5SBJ,A,foldbench100,26,,0.7532,0.4511,0.6159,0.4505,0.6484
7ur7_A,7UR7,A,foldbench100,63,,0.8631,0.8354,0.8493,0.8357,0.8547
7urp_A,7URP,A,foldbench100,159,0.274,0.2791,0.3071,0.5282,0.9142,0.8997
7xp9_A,7XP9,A,foldbench100,76,,0.6643,0.5729,0.5233,0.8346,0.8238
7y8i_A,7Y8I,A,foldbench100,82,0.373,0.3188,0.5045,0.7233,0.7704,0.8359
7zu3_A,7ZU3,A,foldbench100,126,,0.4247,0.5749,0.5103,0.5417,0.7787
7zv1_A,7ZV1,A,foldbench100,109,,0.2825,0.3455,0.6689,0.7986,0.9419
8adc_A,8ADC,A,foldbench100,207,0.262,0.3541,0.4678,0.5109,0.7263,0.8456
8add_A,8ADD,A,foldbench100,211,0.389,0.2677,0.2705,0.3722,0.8461,0.8529
8ah9_A,8AH9,A,foldbench100,115,0.395,0.8404,0.815,0.8318,0.8349,0.8445
8b61_A,8B61,A,foldbench100,197,0.34,0.3123,0.3033,0.5767,0.8855,0.9048
8bux_A,8BUX,A,foldbench100,289,,0.2805,0.2684,0.2751,0.8185,0.8198
8cba_A,8CBA,A,foldbench100,195,0.292,0.296,0.3578,0.4992,0.8648,0.8818
8eb9_A,8EB9,A,foldbench100,89,,0.339,0.2665,0.3271,0.4979,0.8644
8ec3_A,8EC3,A,foldbench100,155,,0.4604,0.4855,0.3899,0.846,0.8456
8fib_A,8FIB,A,foldbench_rest,418,0.348,0.2755,0.2756,0.7924,0.8546,0.8388
8gbe_A,8GBE,A,foldbench_rest,205,,0.3392,0.3502,0.3239,0.7661,0.88
8gm7_A,8GM7,A,foldbench_rest,168,,0.3785,0.53,0.3694,0.8936,0.8996
8gsy_A,8GSY,A,foldbench_rest,126,0.351,0.5752,0.6177,0.8449,0.7874,0.861
8ini_A,8INI,A,foldbench_rest,95,,0.3097,0.3336,0.3325,0.8458,0.8226
8iqc_A,8IQC,A,foldbench_rest,226,0.351,0.4123,0.4859,0.5141,0.8768,0.8933
8ou1_A,8OU1,A,foldbench_rest,142,0.345,0.2872,0.4684,0.2716,0.836,0.8646
8ovq_A,8OVQ,A,foldbench_rest,208,0.228,0.3613,0.3947,0.5727,0.6921,0.8441
8ow8_A,8OW8,A,foldbench_rest,401,0.371,0.2875,0.2599,0.2834,0.8681,0.8837
8p0e_A,8P0E,A,foldbench_rest,184,0.363,0.2793,0.461,0.8514,0.8411,0.8442
8q79_A,8Q79,A,foldbench_rest,214,0.36,0.2649,0.3854,0.2736,0.8886,0.3051
8qnf_A,8QNF,A,foldbench_rest,447,0.375,0.3469,0.3996,0.774,0.8093,0.8378
8sx0_A,8SX0,A,foldbench_rest,96,,0.7198,0.7902,0.4961,0.8076,0.7059
8t5t_A,8T5T,A,foldbench_rest,195,0.317,0.2873,0.355,0.5902,0.6988,0.8469
8ux2_A,8UX2,A,foldbench_rest,239,,0.2846,0.2914,0.4378,0.5657,0.2878
8w7p_A,8W7P,A,foldbench_rest,250,0.235,0.2623,0.2529,0.6741,0.7991,0.8189
8wc1_A,8WC1,A,foldbench_rest,151,0.334,0.405,0.4681,0.8281,0.9069,0.9052
8wqn_A,8WQN,A,foldbench_rest,155,,0.3088,0.3096,0.3372,0.8739,0.8971
8xif_A,8XIF,A,foldbench_rest,223,,0.2982,0.3528,0.5601,0.894,0.8584
9aue_A,9AUE,A,foldbench_rest,415,0.371,0.3113,0.2708,0.666,0.9057,0.8525
9b8e_A,9B8E,A,foldbench_rest,221,0.229,0.2691,0.3006,0.443,0.839,0.2708
9gso_A,9GSO,A,foldbench_rest,167,,0.3958,0.4149,0.3852,0.9121,0.8695
9jq9_A,9JQ9,A,foldbench_rest,165,0.35,0.3521,0.4092,0.6981,0.8947,0.8788
