pdb_id,lddt,cif
5sbj-assembly1,0.7823,v2_msa/5sbj-assembly1/predictions/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_sample_0.cif
7qp5-assembly1,0.8855,v2_msa/7qp5-assembly1/predictions/7qp5-assembly1/seed_42/predictions/7qp5-assembly1_sample_0.cif
7qsj-assembly1,0.9276,v2_msa/7qsj-assembly1/predictions/7qsj-assembly1/seed_42/predictions/7qsj-assembly1_sample_0.cif
7t9r-assembly1,0.7947,v2_msa/7t9r-assembly1/predictions/7t9r-assembly1/seed_42/predictions/7t9r-assembly1_sample_0.cif
7tjb-assembly1,0.8927,v2_msa/7tjb-assembly1/predictions/7tjb-assembly1/seed_42/predictions/7tjb-assembly1_sample_0.cif
7tlh-assembly1,0.8772,v2_msa/7tlh-assembly1/predictions/7tlh-assembly1/seed_42/predictions/7tlh-assembly1_sample_0.cif
7uba-assembly1,0.8846,v2_msa/7uba-assembly1/predictions/7uba-assembly1/seed_42/predictions/7uba-assembly1_sample_0.cif
7uk8-assembly1,0.8399,v2_msa/7uk8-assembly1/predictions/7uk8-assembly1/seed_42/predictions/7uk8-assembly1_sample_0.cif
7ur2-assembly1,0.8186,v2_msa/7ur2-assembly1/predictions/7ur2-assembly1/seed_42/predictions/7ur2-assembly1_sample_0.cif
7ur7-assembly1,0.8357,v2_msa/7ur7-assembly1/predictions/7ur7-assembly1/seed_42/predictions/7ur7-assembly1_sample_0.cif
7urp-assembly1,0.9143,v2_msa/7urp-assembly1/predictions/7urp-assembly1/seed_42/predictions/7urp-assembly1_sample_0.cif
7uvg-assembly1,0.8322,v2_msa/7uvg-assembly1/predictions/7uvg-assembly1/seed_42/predictions/7uvg-assembly1_sample_0.cif
7uww-assembly1,0.8936,v2_msa/7uww-assembly1/predictions/7uww-assembly1/seed_42/predictions/7uww-assembly1_sample_0.cif
7w15-assembly1,0.9034,v2_msa/7w15-assembly1/predictions/7w15-assembly1/seed_42/predictions/7w15-assembly1_sample_0.cif
7wz5-assembly1,0.861,v2_msa/7wz5-assembly1/predictions/7wz5-assembly1/seed_42/predictions/7wz5-assembly1_sample_0.cif
7wzm-assembly1,0.8152,v2_msa/7wzm-assembly1/predictions/7wzm-assembly1/seed_42/predictions/7wzm-assembly1_sample_0.cif
7x3h-assembly1,0.8132,v2_msa/7x3h-assembly1/predictions/7x3h-assembly1/seed_42/predictions/7x3h-assembly1_sample_0.cif
7x4p-assembly1,0.8635,v2_msa/7x4p-assembly1/predictions/7x4p-assembly1/seed_42/predictions/7x4p-assembly1_sample_0.cif
7x8l-assembly1,0.9143,v2_msa/7x8l-assembly1/predictions/7x8l-assembly1/seed_42/predictions/7x8l-assembly1_sample_0.cif
7xg9-assembly1,0.8692,v2_msa/7xg9-assembly1/predictions/7xg9-assembly1/seed_42/predictions/7xg9-assembly1_sample_0.cif
7xi5-assembly1,0.9365,v2_msa/7xi5-assembly1/predictions/7xi5-assembly1/seed_42/predictions/7xi5-assembly1_sample_0.cif
7xjr-assembly1,0.9195,v2_msa/7xjr-assembly1/predictions/7xjr-assembly1/seed_42/predictions/7xjr-assembly1_sample_0.cif
7xlz-assembly1,0.8769,v2_msa/7xlz-assembly1/predictions/7xlz-assembly1/seed_42/predictions/7xlz-assembly1_sample_0.cif
7xp9-assembly1,0.838,v2_msa/7xp9-assembly1/predictions/7xp9-assembly1/seed_42/predictions/7xp9-assembly1_sample_0.cif
7xq4-assembly1,0.8659,v2_msa/7xq4-assembly1/predictions/7xq4-assembly1/seed_42/predictions/7xq4-assembly1_sample_0.cif
7xyr-assembly1,0.9076,v2_msa/7xyr-assembly1/predictions/7xyr-assembly1/seed_42/predictions/7xyr-assembly1_sample_0.cif
7xz3-assembly1,0.8554,v2_msa/7xz3-assembly1/predictions/7xz3-assembly1/seed_42/predictions/7xz3-assembly1_sample_0.cif
7y3h-assembly1,0.8553,v2_msa/7y3h-assembly1/predictions/7y3h-assembly1/seed_42/predictions/7y3h-assembly1_sample_0.cif
7y4h-assembly1,0.9025,v2_msa/7y4h-assembly1/predictions/7y4h-assembly1/seed_42/predictions/7y4h-assembly1_sample_0.cif
7y54-assembly1,0.8296,v2_msa/7y54-assembly1/predictions/7y54-assembly1/seed_42/predictions/7y54-assembly1_sample_0.cif
7y5j-assembly1,0.8869,v2_msa/7y5j-assembly1/predictions/7y5j-assembly1/seed_42/predictions/7y5j-assembly1_sample_0.cif
7y5m-assembly1,0.8443,v2_msa/7y5m-assembly1/predictions/7y5m-assembly1/seed_42/predictions/7y5m-assembly1_sample_0.cif
7y5r-assembly1,0.8311,v2_msa/7y5r-assembly1/predictions/7y5r-assembly1/seed_42/predictions/7y5r-assembly1_sample_0.cif
7y8h-assembly1,0.8269,v2_msa/7y8h-assembly1/predictions/7y8h-assembly1/seed_42/predictions/7y8h-assembly1_sample_0.cif
7y8i-assembly1,0.7705,v2_msa/7y8i-assembly1/predictions/7y8i-assembly1/seed_42/predictions/7y8i-assembly1_sample_0.cif
7yd4-assembly1,0.868,v2_msa/7yd4-assembly1/predictions/7yd4-assembly1/seed_42/predictions/7yd4-assembly1_sample_0.cif
7yhr-assembly1,0.9072,v2_msa/7yhr-assembly1/predictions/7yhr-assembly1/seed_42/predictions/7yhr-assembly1_sample_0.cif
7ykm-assembly1,0.8453,v2_msa/7ykm-assembly1/predictions/7ykm-assembly1/seed_42/predictions/7ykm-assembly1_sample_0.cif
7ylr-assembly1,0.8549,v2_msa/7ylr-assembly1/predictions/7ylr-assembly1/seed_42/predictions/7ylr-assembly1_sample_0.cif
7yug-assembly1,0.8827,v2_msa/7yug-assembly1/predictions/7yug-assembly1/seed_42/predictions/7yug-assembly1_sample_0.cif
7yyg-assembly1,0.8253,v2_msa/7yyg-assembly1/predictions/7yyg-assembly1/seed_42/predictions/7yyg-assembly1_sample_0.cif
7z65-assembly1,0.9187,v2_msa/7z65-assembly1/predictions/7z65-assembly1/seed_42/predictions/7z65-assembly1_sample_0.cif
7znz-assembly1,0.9109,v2_msa/7znz-assembly1/predictions/7znz-assembly1/seed_42/predictions/7znz-assembly1_sample_0.cif
7zoi-assembly1,0.9135,v2_msa/7zoi-assembly1/predictions/7zoi-assembly1/seed_42/predictions/7zoi-assembly1_sample_0.cif
7zs2-assembly1,0.8357,v2_msa/7zs2-assembly1/predictions/7zs2-assembly1/seed_42/predictions/7zs2-assembly1_sample_0.cif
7zv1-assembly1,0.7989,v2_msa/7zv1-assembly1/predictions/7zv1-assembly1/seed_42/predictions/7zv1-assembly1_sample_0.cif
8ah9-assembly1,0.8349,v2_msa/8ah9-assembly1/predictions/8ah9-assembly1/seed_42/predictions/8ah9-assembly1_sample_0.cif
