pdb_id,lddt,cif
5sbj-assembly1,0.7847,v2_singleseq/5sbj-assembly1/predictions/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_sample_0.cif
7qp5-assembly1,0.2945,v2_singleseq/7qp5-assembly1/predictions/7qp5-assembly1/seed_42/predictions/7qp5-assembly1_sample_0.cif
7qsj-assembly1,0.4824,v2_singleseq/7qsj-assembly1/predictions/7qsj-assembly1/seed_42/predictions/7qsj-assembly1_sample_0.cif
7t9r-assembly1,0.3389,v2_singleseq/7t9r-assembly1/predictions/7t9r-assembly1/seed_42/predictions/7t9r-assembly1_sample_0.cif
7tjb-assembly1,0.5329,v2_singleseq/7tjb-assembly1/predictions/7tjb-assembly1/seed_42/predictions/7tjb-assembly1_sample_0.cif
7tlh-assembly1,0.271,v2_singleseq/7tlh-assembly1/predictions/7tlh-assembly1/seed_42/predictions/7tlh-assembly1_sample_0.cif
7uba-assembly1,0.2856,v2_singleseq/7uba-assembly1/predictions/7uba-assembly1/seed_42/predictions/7uba-assembly1_sample_0.cif
7uk8-assembly1,0.2892,v2_singleseq/7uk8-assembly1/predictions/7uk8-assembly1/seed_42/predictions/7uk8-assembly1_sample_0.cif
7ur2-assembly1,0.4151,v2_singleseq/7ur2-assembly1/predictions/7ur2-assembly1/seed_42/predictions/7ur2-assembly1_sample_0.cif
7ur7-assembly1,0.8352,v2_singleseq/7ur7-assembly1/predictions/7ur7-assembly1/seed_42/predictions/7ur7-assembly1_sample_0.cif
7urp-assembly1,0.2871,v2_singleseq/7urp-assembly1/predictions/7urp-assembly1/seed_42/predictions/7urp-assembly1_sample_0.cif
7uvg-assembly1,0.2749,v2_singleseq/7uvg-assembly1/predictions/7uvg-assembly1/seed_42/predictions/7uvg-assembly1_sample_0.cif
7uww-assembly1,0.2805,v2_singleseq/7uww-assembly1/predictions/7uww-assembly1/seed_42/predictions/7uww-assembly1_sample_0.cif
7w15-assembly1,0.3067,v2_singleseq/7w15-assembly1/predictions/7w15-assembly1/seed_42/predictions/7w15-assembly1_sample_0.cif
7wz5-assembly1,0.3486,v2_singleseq/7wz5-assembly1/predictions/7wz5-assembly1/seed_42/predictions/7wz5-assembly1_sample_0.cif
7wzm-assembly1,0.4425,v2_singleseq/7wzm-assembly1/predictions/7wzm-assembly1/seed_42/predictions/7wzm-assembly1_sample_0.cif
7x3h-assembly1,0.3334,v2_singleseq/7x3h-assembly1/predictions/7x3h-assembly1/seed_42/predictions/7x3h-assembly1_sample_0.cif
7x4p-assembly1,0.3346,v2_singleseq/7x4p-assembly1/predictions/7x4p-assembly1/seed_42/predictions/7x4p-assembly1_sample_0.cif
7x8l-assembly1,0.2376,v2_singleseq/7x8l-assembly1/predictions/7x8l-assembly1/seed_42/predictions/7x8l-assembly1_sample_0.cif
7xg9-assembly1,0.5852,v2_singleseq/7xg9-assembly1/predictions/7xg9-assembly1/seed_42/predictions/7xg9-assembly1_sample_0.cif
7xi5-assembly1,0.4059,v2_singleseq/7xi5-assembly1/predictions/7xi5-assembly1/seed_42/predictions/7xi5-assembly1_sample_0.cif
7xjr-assembly1,0.4076,v2_singleseq/7xjr-assembly1/predictions/7xjr-assembly1/seed_42/predictions/7xjr-assembly1_sample_0.cif
7xlz-assembly1,0.296,v2_singleseq/7xlz-assembly1/predictions/7xlz-assembly1/seed_42/predictions/7xlz-assembly1_sample_0.cif
7xp9-assembly1,0.5729,v2_singleseq/7xp9-assembly1/predictions/7xp9-assembly1/seed_42/predictions/7xp9-assembly1_sample_0.cif
7xq4-assembly1,0.7001,v2_singleseq/7xq4-assembly1/predictions/7xq4-assembly1/seed_42/predictions/7xq4-assembly1_sample_0.cif
7xyr-assembly1,0.3053,v2_singleseq/7xyr-assembly1/predictions/7xyr-assembly1/seed_42/predictions/7xyr-assembly1_sample_0.cif
7xz3-assembly1,0.2697,v2_singleseq/7xz3-assembly1/predictions/7xz3-assembly1/seed_42/predictions/7xz3-assembly1_sample_0.cif
7y3h-assembly1,0.4305,v2_singleseq/7y3h-assembly1/predictions/7y3h-assembly1/seed_42/predictions/7y3h-assembly1_sample_0.cif
7y4h-assembly1,0.4411,v2_singleseq/7y4h-assembly1/predictions/7y4h-assembly1/seed_42/predictions/7y4h-assembly1_sample_0.cif
7y54-assembly1,0.2865,v2_singleseq/7y54-assembly1/predictions/7y54-assembly1/seed_42/predictions/7y54-assembly1_sample_0.cif
7y5j-assembly1,0.388,v2_singleseq/7y5j-assembly1/predictions/7y5j-assembly1/seed_42/predictions/7y5j-assembly1_sample_0.cif
7y5m-assembly1,0.285,v2_singleseq/7y5m-assembly1/predictions/7y5m-assembly1/seed_42/predictions/7y5m-assembly1_sample_0.cif
7y5r-assembly1,0.7167,v2_singleseq/7y5r-assembly1/predictions/7y5r-assembly1/seed_42/predictions/7y5r-assembly1_sample_0.cif
7y8h-assembly1,0.517,v2_singleseq/7y8h-assembly1/predictions/7y8h-assembly1/seed_42/predictions/7y8h-assembly1_sample_0.cif
7y8i-assembly1,0.5044,v2_singleseq/7y8i-assembly1/predictions/7y8i-assembly1/seed_42/predictions/7y8i-assembly1_sample_0.cif
7yd4-assembly1,0.3767,v2_singleseq/7yd4-assembly1/predictions/7yd4-assembly1/seed_42/predictions/7yd4-assembly1_sample_0.cif
7yhr-assembly1,0.5083,v2_singleseq/7yhr-assembly1/predictions/7yhr-assembly1/seed_42/predictions/7yhr-assembly1_sample_0.cif
7ykm-assembly1,0.7976,v2_singleseq/7ykm-assembly1/predictions/7ykm-assembly1/seed_42/predictions/7ykm-assembly1_sample_0.cif
7ylr-assembly1,0.4241,v2_singleseq/7ylr-assembly1/predictions/7ylr-assembly1/seed_42/predictions/7ylr-assembly1_sample_0.cif
7yug-assembly1,0.6204,v2_singleseq/7yug-assembly1/predictions/7yug-assembly1/seed_42/predictions/7yug-assembly1_sample_0.cif
7yyg-assembly1,0.4541,v2_singleseq/7yyg-assembly1/predictions/7yyg-assembly1/seed_42/predictions/7yyg-assembly1_sample_0.cif
7z65-assembly1,0.3491,v2_singleseq/7z65-assembly1/predictions/7z65-assembly1/seed_42/predictions/7z65-assembly1_sample_0.cif
7znz-assembly1,0.3843,v2_singleseq/7znz-assembly1/predictions/7znz-assembly1/seed_42/predictions/7znz-assembly1_sample_0.cif
7zoi-assembly1,0.3671,v2_singleseq/7zoi-assembly1/predictions/7zoi-assembly1/seed_42/predictions/7zoi-assembly1_sample_0.cif
7zs2-assembly1,0.3592,v2_singleseq/7zs2-assembly1/predictions/7zs2-assembly1/seed_42/predictions/7zs2-assembly1_sample_0.cif
7zv1-assembly1,0.3453,v2_singleseq/7zv1-assembly1/predictions/7zv1-assembly1/seed_42/predictions/7zv1-assembly1_sample_0.cif
8ah9-assembly1,0.815,v2_singleseq/8ah9-assembly1/predictions/8ah9-assembly1/seed_42/predictions/8ah9-assembly1_sample_0.cif
8ak2-assembly1,0.2634,v2_singleseq/8ak2-assembly1/predictions/8ak2-assembly1/seed_42/predictions/8ak2-assembly1_sample_0.cif
8akh-assembly1,0.3387,v2_singleseq/8akh-assembly1/predictions/8akh-assembly1/seed_42/predictions/8akh-assembly1_sample_0.cif
8amo-assembly1,0.3758,v2_singleseq/8amo-assembly1/predictions/8amo-assembly1/seed_42/predictions/8amo-assembly1_sample_0.cif
8arl-assembly1,0.4748,v2_singleseq/8arl-assembly1/predictions/8arl-assembly1/seed_42/predictions/8arl-assembly1_sample_0.cif
8axj-assembly1,0.2962,v2_singleseq/8axj-assembly1/predictions/8axj-assembly1/seed_42/predictions/8axj-assembly1_sample_0.cif
8azb-assembly1,0.3497,v2_singleseq/8azb-assembly1/predictions/8azb-assembly1/seed_42/predictions/8azb-assembly1_sample_0.cif
8b2e-assembly1,0.3354,v2_singleseq/8b2e-assembly1/predictions/8b2e-assembly1/seed_42/predictions/8b2e-assembly1_sample_0.cif
8b2g-assembly1,0.3123,v2_singleseq/8b2g-assembly1/predictions/8b2g-assembly1/seed_42/predictions/8b2g-assembly1_sample_0.cif
8b2s-assembly1,0.2936,v2_singleseq/8b2s-assembly1/predictions/8b2s-assembly1/seed_42/predictions/8b2s-assembly1_sample_0.cif
8b4u-assembly1,0.3276,v2_singleseq/8b4u-assembly1/predictions/8b4u-assembly1/seed_42/predictions/8b4u-assembly1_sample_0.cif
8b5w-assembly1,0.2938,v2_singleseq/8b5w-assembly1/predictions/8b5w-assembly1/seed_42/predictions/8b5w-assembly1_sample_0.cif
8b61-assembly1,0.2988,v2_singleseq/8b61-assembly1/predictions/8b61-assembly1/seed_42/predictions/8b61-assembly1_sample_0.cif
8b6a-assembly1,0.2592,v2_singleseq/8b6a-assembly1/predictions/8b6a-assembly1/seed_42/predictions/8b6a-assembly1_sample_0.cif
8b6e-assembly1,0.8291,v2_singleseq/8b6e-assembly1/predictions/8b6e-assembly1/seed_42/predictions/8b6e-assembly1_sample_0.cif
8baq-assembly1,0.2669,v2_singleseq/8baq-assembly1/predictions/8baq-assembly1/seed_42/predictions/8baq-assembly1_sample_0.cif
8bau-assembly1,0.2738,v2_singleseq/8bau-assembly1/predictions/8bau-assembly1/seed_42/predictions/8bau-assembly1_sample_0.cif
8bfy-assembly1,0.2803,v2_singleseq/8bfy-assembly1/predictions/8bfy-assembly1/seed_42/predictions/8bfy-assembly1_sample_0.cif
8bgb-assembly1,0.5974,v2_singleseq/8bgb-assembly1/predictions/8bgb-assembly1/seed_42/predictions/8bgb-assembly1_sample_0.cif
8bke-assembly1,0.6171,v2_singleseq/8bke-assembly1/predictions/8bke-assembly1/seed_42/predictions/8bke-assembly1_sample_0.cif
8bsb-assembly1,0.8283,v2_singleseq/8bsb-assembly1/predictions/8bsb-assembly1/seed_42/predictions/8bsb-assembly1_sample_0.cif
8c4d-assembly1,0.547,v2_singleseq/8c4d-assembly1/predictions/8c4d-assembly1/seed_42/predictions/8c4d-assembly1_sample_0.cif
8c4y-assembly1,0.3357,v2_singleseq/8c4y-assembly1/predictions/8c4y-assembly1/seed_42/predictions/8c4y-assembly1_sample_0.cif
8cba-assembly1,0.3586,v2_singleseq/8cba-assembly1/predictions/8cba-assembly1/seed_42/predictions/8cba-assembly1_sample_0.cif
8ci9-assembly1,0.277,v2_singleseq/8ci9-assembly1/predictions/8ci9-assembly1/seed_42/predictions/8ci9-assembly1_sample_0.cif
8cih-assembly1,0.7142,v2_singleseq/8cih-assembly1/predictions/8cih-assembly1/seed_42/predictions/8cih-assembly1_sample_0.cif
8cpk-assembly1,0.727,v2_singleseq/8cpk-assembly1/predictions/8cpk-assembly1/seed_42/predictions/8cpk-assembly1_sample_0.cif
8cpn-assembly1,0.2721,v2_singleseq/8cpn-assembly1/predictions/8cpn-assembly1/seed_42/predictions/8cpn-assembly1_sample_0.cif
8d2z-assembly1,0.4933,v2_singleseq/8d2z-assembly1/predictions/8d2z-assembly1/seed_42/predictions/8d2z-assembly1_sample_0.cif
8daj-assembly1,0.4099,v2_singleseq/8daj-assembly1/predictions/8daj-assembly1/seed_42/predictions/8daj-assembly1_sample_0.cif
8dez-assembly1,0.4209,v2_singleseq/8dez-assembly1/predictions/8dez-assembly1/seed_42/predictions/8dez-assembly1_sample_0.cif
8dge-assembly1,0.2694,v2_singleseq/8dge-assembly1/predictions/8dge-assembly1/seed_42/predictions/8dge-assembly1_sample_0.cif
8dhj-assembly1,0.305,v2_singleseq/8dhj-assembly1/predictions/8dhj-assembly1/seed_42/predictions/8dhj-assembly1_sample_0.cif
8dmu-assembly1,0.2419,v2_singleseq/8dmu-assembly1/predictions/8dmu-assembly1/seed_42/predictions/8dmu-assembly1_sample_0.cif
8dp9-assembly1,0.3038,v2_singleseq/8dp9-assembly1/predictions/8dp9-assembly1/seed_42/predictions/8dp9-assembly1_sample_0.cif
8dqd-assembly1,0.3279,v2_singleseq/8dqd-assembly1/predictions/8dqd-assembly1/seed_42/predictions/8dqd-assembly1_sample_0.cif
8dx0-assembly1,0.4342,v2_singleseq/8dx0-assembly1/predictions/8dx0-assembly1/seed_42/predictions/8dx0-assembly1_sample_0.cif
8e0r-assembly1,0.2281,v2_singleseq/8e0r-assembly1/predictions/8e0r-assembly1/seed_42/predictions/8e0r-assembly1_sample_0.cif
8e5h-assembly1,0.5271,v2_singleseq/8e5h-assembly1/predictions/8e5h-assembly1/seed_42/predictions/8e5h-assembly1_sample_0.cif
8eb9-assembly1,0.2664,v2_singleseq/8eb9-assembly1/predictions/8eb9-assembly1/seed_42/predictions/8eb9-assembly1_sample_0.cif
8ec3-assembly1,0.4862,v2_singleseq/8ec3-assembly1/predictions/8ec3-assembly1/seed_42/predictions/8ec3-assembly1_sample_0.cif
8eo5-assembly1,0.2755,v2_singleseq/8eo5-assembly1/predictions/8eo5-assembly1/seed_42/predictions/8eo5-assembly1_sample_0.cif
8gmy-assembly1,0.2946,v2_singleseq/8gmy-assembly1/predictions/8gmy-assembly1/seed_42/predictions/8gmy-assembly1_sample_0.cif
8q8i-assembly1,0.2293,v2_singleseq/8q8i-assembly1/predictions/8q8i-assembly1/seed_42/predictions/8q8i-assembly1_sample_0.cif
8ycm-assembly1,0.3153,v2_singleseq/8ycm-assembly1/predictions/8ycm-assembly1/seed_42/predictions/8ycm-assembly1_sample_0.cif
