bucket,arm,label,n,mean_lddt,ci_lo,ci_hi
<=10,off,"Helico, no contacts",5,0.4064446834712026,0.2782799932052022,0.5548486514328003
<=10,mf_L5,"Helico + MarinFold, top-L/5",5,0.4665266645979306,0.353290347084953,0.5855304903875752
<=10,mf_L2,"Helico + MarinFold, top-L/2",5,0.43883107230881857,0.3552013222288915,0.5224608223887455
<=10,mf_L,"Helico + MarinFold, top-L",5,0.44666071422415216,0.36807573015160544,0.516114616537883
<=10,v2ss,Helico + Protenix-v2 single-seq contacts,5,0.4494666364023181,0.2931239952346368,0.6506536624502661
<=10,v2msa,Helico + Protenix-v2 +MSA contacts,5,0.48641358072567237,0.3605221321445834,0.6073533614879408
<=10,oracle,Helico + oracle contacts,5,0.858401924123528,0.8376820261671665,0.8780582411498858
<=10,protenix_v2_single_seq,"Protenix v2, single sequence",5,0.4595962,0.3006474,0.6540132149999968
<=10,protenix_v2_msa,Protenix v2 + MSA,5,0.5096298,0.36968880000000004,0.6441014
<=10,esmfold,ESMFold,5,0.576712,0.4625906000000001,0.703716
<=10,esmfold2,ESMFold2,5,0.7325122000000001,0.6324128,0.8297048
11-100,off,"Helico, no contacts",20,0.4470412656118163,0.3772981127325727,0.5239543882903206
11-100,mf_L5,"Helico + MarinFold, top-L/5",20,0.4895208452633142,0.4135930095425216,0.5658613792088473
11-100,mf_L2,"Helico + MarinFold, top-L/2",20,0.48781305935312014,0.40491232347198297,0.5730335624585803
11-100,mf_L,"Helico + MarinFold, top-L",20,0.5016813349696795,0.4232407718609695,0.5820550788007656
11-100,v2ss,Helico + Protenix-v2 single-seq contacts,20,0.46444823781414535,0.3872291009656809,0.5503577119712769
11-100,v2msa,Helico + Protenix-v2 +MSA contacts,20,0.8110180055435278,0.7692402149104064,0.8434615855046689
11-100,oracle,Helico + oracle contacts,20,0.8614963150404973,0.848290180783967,0.8740568199910248
11-100,protenix_v2_single_seq,"Protenix v2, single sequence",20,0.47272310000000006,0.39211152875,0.5637561187500001
11-100,protenix_v2_msa,Protenix v2 + MSA,20,0.8259378500000001,0.780330575,0.86102885625
11-100,esmfold,ESMFold,20,0.55861665,0.46591488749999993,0.6471936287499999
11-100,esmfold2,ESMFold2,20,0.62673115,0.52540281125,0.7204393925
101-1000,off,"Helico, no contacts",60,0.3761021484710159,0.3421832560546515,0.4133704557959799
101-1000,mf_L5,"Helico + MarinFold, top-L/5",60,0.5126929709881125,0.47469379055621097,0.5513629289528363
101-1000,mf_L2,"Helico + MarinFold, top-L/2",60,0.5227266854948736,0.4852832980565551,0.5611088149422953
101-1000,mf_L,"Helico + MarinFold, top-L",60,0.528337866823843,0.4887610334963192,0.5673674704778674
101-1000,v2ss,Helico + Protenix-v2 single-seq contacts,60,0.414806851995079,0.37363041067161523,0.46012716173620855
101-1000,v2msa,Helico + Protenix-v2 +MSA contacts,60,0.8230950214205216,0.8035467402432003,0.8396339082518464
101-1000,oracle,Helico + oracle contacts,60,0.8584276777217278,0.8466796137178577,0.8687616315962505
101-1000,protenix_v2_single_seq,"Protenix v2, single sequence",60,0.4175618833333334,0.3771930270833334,0.46138259125000003
101-1000,protenix_v2_msa,Protenix v2 + MSA,60,0.8444878,0.8248013854166666,0.8611249454166665
101-1000,esmfold,ESMFold,60,0.7292597166666668,0.6870474225000001,0.7676201970833333
101-1000,esmfold2,ESMFold2,60,0.789027,0.7516618641666669,0.82231723125
>1000,off,"Helico, no contacts",220,0.34562847088202,0.3293833471685587,0.3625261486264951
>1000,mf_L5,"Helico + MarinFold, top-L/5",220,0.5812875252351895,0.561674359838519,0.6002147478253517
>1000,mf_L2,"Helico + MarinFold, top-L/2",220,0.6366778689446346,0.6149509504423782,0.6565859289648777
>1000,mf_L,"Helico + MarinFold, top-L",220,0.6522393227466587,0.6309690161447932,0.6725945530664087
>1000,v2ss,Helico + Protenix-v2 single-seq contacts,220,0.37802641299933243,0.3587295720372803,0.39773316863766117
>1000,v2msa,Helico + Protenix-v2 +MSA contacts,220,0.841685303439492,0.8353368282302231,0.8478447531835328
>1000,oracle,Helico + oracle contacts,220,0.8622969307631931,0.8563127138820606,0.8676273017691977
>1000,protenix_v2_single_seq,"Protenix v2, single sequence",220,0.3852493454545454,0.3662988344318181,0.4046732726136363
>1000,protenix_v2_msa,Protenix v2 + MSA,220,0.87652045,0.8712562911363636,0.8816321642045454
>1000,esmfold,ESMFold,220,0.8400134181818182,0.8291590698863636,0.8499138188636364
>1000,esmfold2,ESMFold2,220,0.8690799272727273,0.8583230459090908,0.8784271738636362
